step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
23,CASH_IN,279959.95,C1441157509,237650,517609.95,C2073791055,4291015.16,4011055.21,0
11,CASH_OUT,390313.09,C1373507210,159331,0,C1073409712,1266724.69,1208079.48,0
94,PAYMENT,5306.26,C1306098992,0,0,M1045088741,0,0,0
36,TRANSFER,281560.67,C1788950240,431425,149864.33,C154927490,0,281560.67,0
16,PAYMENT,526.81,C749186525,474124.47,473597.66,M2090045700,0,0,0
45,CASH_IN,91101.98,C1010058430,5048,96149.98,C1689323704,1980460.93,1889358.95,0
8,CASH_OUT,39755.39,C1734972358,0,0,C675203915,4482481.24,5398127.54,0
20,PAYMENT,20617.85,C980142872,810829.67,790211.82,M1897698261,0,0,0
45,PAYMENT,6640.47,C1568154999,31475,24834.53,M197968279,0,0,0
17,PAYMENT,1309.41,C34481633,88332,87022.59,M1851953887,0,0,0
15,PAYMENT,2044.11,C1279932899,0,0,M1566403631,0,0,0
19,CASH_IN,151900.24,C1540781283,211836.55,363736.79,C1772406411,3562677.93,3410777.7,0
34,CASH_OUT,165637.43,C1231414575,21624,0,C936857833,34300000,34500000,0
43,CASH_OUT,209355.84,C731921067,0,0,C769659117,2306401.65,2515757.49,0
33,PAYMENT,41723.75,C748683095,0,0,M223978822,0,0,0
40,PAYMENT,21410.61,C56893723,10434,0,M1182798105,0,0,0
34,CASH_OUT,172567.46,C1975724169,300,0,C2146790998,0,94363.31,0
42,CASH_IN,838.28,C50863636,8641483.54,8642321.83,C2059759600,118368.28,117529.99,0
48,PAYMENT,4491.84,C385155530,305141,300649.16,M1894912673,0,0,0
14,CASH_IN,34051.03,C122928721,3533564.58,3567615.61,C820422676,4108809.03,4358734.91,0
95,PAYMENT,18496.01,C386351418,12534,0,M1083126093,0,0,0
18,PAYMENT,1092.22,C176341272,138401.59,137309.37,M2059472568,0,0,0
42,PAYMENT,15117.77,C699715416,105157.99,90040.22,M1444381713,0,0,0
8,CASH_OUT,81310.29,C473623242,0,0,C1538264524,694385.39,1261284.59,0
19,PAYMENT,14071.52,C829836105,0,0,M1541189025,0,0,0
44,CASH_OUT,140565.61,C32027994,3010,0,C460086051,2437699.63,2578265.24,0
20,PAYMENT,4114.53,C457741276,206609.65,202495.12,M27558115,0,0,0
14,CASH_IN,189724.85,C247942559,14600000,14800000,C938496601,1473802.6,2299878.99,0
39,CASH_IN,55128.72,C1434002941,22500000,22600000,C435365761,3417361.81,3362233.1,0
42,PAYMENT,14430.72,C796619958,0,0,M755937131,0,0,0
94,CASH_IN,560441.07,C538044432,7073272.83,7633713.91,C268135280,659933.32,99492.25,0
43,TRANSFER,277130.59,C242001583,0,0,C193874771,695943.84,973074.43,0
34,CASH_IN,213073.55,C1905169413,948,214021.55,C1189789568,0,0,0
8,PAYMENT,7728.58,C2052177180,7017,0,M2140706836,0,0,0
35,CASH_OUT,724896.67,C239175354,898,0,C220034328,18048.68,742945.35,0
19,CASH_OUT,26776.49,C1704626606,9615,0,C987428407,1056893.72,1083670.2,0
19,PAYMENT,11347.67,C1365180770,0,0,M1184023523,0,0,0
39,CASH_OUT,30785.02,C2003280431,0,0,C881996915,706757.95,737542.97,0
19,PAYMENT,3635.72,C984122096,50302,46666.28,M795931259,0,0,0
14,CASH_IN,91584.93,C460090735,0,91584.93,C121576814,22742,0,0
17,CASH_OUT,178021.01,C65215501,125071,0,C918485243,216636.87,394657.88,0
14,CASH_IN,235965.22,C2126503999,504152.29,740117.51,C1383942363,6244613.26,6008648.04,0
41,CASH_IN,104702.82,C2126983372,2813000.83,2917703.65,C88318033,524129.91,419427.08,0
17,TRANSFER,275308.79,C1158522549,0,0,C821913200,907149.72,1182458.51,0
33,PAYMENT,14432.29,C2025077066,61467,47034.71,M1440417667,0,0,0
40,CASH_OUT,527090.21,C267137532,608,0,C290269528,369338.3,1094147.48,0
33,CASH_OUT,218596.25,C883761055,7537,0,C849201037,0,218596.25,0
11,PAYMENT,11626.9,C1240703003,0,0,M287891552,0,0,0
33,CASH_OUT,139343.23,C860712926,0,0,C2035044958,4091314.14,4230657.37,0
42,CASH_OUT,498087.27,C158787992,0,0,C2057051169,579500.57,1077587.84,0
46,CASH_OUT,261789.26,C935607287,531,0,C568527841,0,261789.26,0
20,CASH_OUT,197782.27,C1979040857,0,0,C699679818,7645250.28,7843032.56,0
39,CASH_IN,211878.7,C1613121923,7425021.3,7636900,C1248010420,2740292.99,2528414.29,0
43,CASH_IN,5536.15,C1516763177,3889109.42,3894645.57,C1155050764,164888,528251.66,0
20,PAYMENT,11565.01,C1727907892,10338,0,M656479073,0,0,0
44,PAYMENT,5860.14,C1628944295,921,0,M1438384879,0,0,0
42,CASH_OUT,234062.4,C988767360,0,0,C1621505394,528950.48,763012.87,0
40,PAYMENT,8021.1,C1136816723,0,0,M1235446593,0,0,0
37,CASH_OUT,32086.57,C93751647,2004,0,C1689609980,2164267.21,2196353.79,0
44,CASH_IN,59534.26,C64606869,20434,79968.26,C1559058190,160666.71,101132.45,0
14,CASH_OUT,55017.72,C2092588333,1776,0,C987987146,310053.02,365070.74,0
17,CASH_OUT,126938.06,C1494219432,319132.92,192194.87,C1162171909,8307996.21,9213503.01,0
46,TRANSFER,202019.65,C399302338,29753,0,C2117300334,458878.45,660898.1,0
34,CASH_OUT,256350.07,C1428520147,0,0,C216890954,5673913.9,5930263.97,0
12,TRANSFER,935323.95,C1418836547,0,0,C681692677,1227906.25,2380413.33,0
44,CASH_OUT,3981.47,C677731391,0,0,C553937259,111627.62,115609.09,0
18,CASH_IN,314793.42,C1344594604,6543221.13,6858014.56,C1972565277,1500078.83,1185285.41,0
9,CASH_OUT,296593.11,C504755615,813935,517341.89,C1989592028,0,1462502.15,0
41,PAYMENT,23221.93,C557049936,168590.8,145368.87,M1576962427,0,0,0
10,PAYMENT,3819.14,C239639376,60671,56851.86,M780388936,0,0,0
42,PAYMENT,15435.45,C151595955,3262,0,M1957850917,0,0,0
17,PAYMENT,28134.65,C720333221,24033.97,0,M241705895,0,0,0
16,CASH_IN,54411.71,C1863846375,4564115.89,4618527.59,C1663330184,1836188.71,1919609.27,0
14,PAYMENT,6792,C1596403405,0,0,M2143739875,0,0,0
42,CASH_OUT,204742.03,C1704468744,0,0,C1663558666,1279082.23,1483824.26,0
44,CASH_OUT,311550.16,C1942575859,0,0,C596595229,3432776.8,3744326.96,0
43,CASH_OUT,357711.24,C773506708,1084,0,C1389538978,66395.12,424106.36,0
17,PAYMENT,10296.02,C637072725,23812.25,13516.23,M924166358,0,0,0
22,CASH_OUT,180146.35,C2136195838,0,0,C1981215192,1760007.56,1940153.91,0
14,CASH_OUT,308348.73,C323105129,107139,0,C1249150953,100146,520012.69,0
17,CASH_OUT,123141.44,C1762844830,0,0,C82073854,190024.9,291539.81,0
18,CASH_OUT,29262.73,C1072322719,617449,588186.27,C1079020011,137409.97,166672.7,0
13,CASH_IN,149024.27,C1446913085,8688,157712.27,C476402209,440028.59,321427.51,0
10,CASH_OUT,177798.11,C1310049115,0,0,C377957453,359699.31,537497.42,0
11,TRANSFER,305983.7,C1372425667,4008,0,C354628826,54903.33,360887.03,0
44,CASH_OUT,393556.92,C584890238,0,0,C1881943115,605964.31,999521.24,0
37,CASH_OUT,213971.44,C242403595,0,0,C2030252632,17600000,17600000,0
46,CASH_IN,30014.03,C834964109,2260225.08,2290239.1,C433621011,533484.21,503470.19,0
8,CASH_IN,205243.96,C1908544969,2590916.5,2796160.46,C2012495678,218231.85,285174.47,0
93,CASH_IN,40046.61,C1170367043,3639543.5,3679590.11,C1373259445,637129.83,597083.21,0
37,CASH_OUT,536974.45,C1543578397,160760,0,C1123438956,19067.92,556042.37,0
45,PAYMENT,3141.5,C7177366,1580,0,M252592730,0,0,0
39,CASH_IN,330155.69,C73217768,4815491.31,5145647,C1818248645,664506.3,334350.61,0
9,CASH_OUT,71011.53,C1639541021,0,0,C1121453612,1975007.49,2642036.09,0
36,CASH_OUT,235731.42,C1844004075,0,0,C843800100,347904.74,1002725.38,0
15,CASH_OUT,198481.23,C1145732835,51389,0,C36295353,0,391454.38,0
18,CASH_OUT,322838.67,C1856346915,0,0,C1672771078,4527040.91,4849879.57,0
42,CASH_OUT,131306.12,C615220882,814714,683407.88,C1844869018,0,131306.12,0
16,CASH_OUT,26360.15,C1592066120,0,0,C1032200697,869999.24,896359.39,0
12,CASH_IN,418090.21,C553483490,86884.68,504974.89,C1974906520,5045,0,0
13,PAYMENT,4629.56,C887678377,0,0,M427185129,0,0,0
33,PAYMENT,20192.01,C1430293770,0,0,M13091373,0,0,0
18,CASH_IN,121425.78,C483347662,103565,224990.78,C1169466175,50872.05,0,0
14,CASH_OUT,197916.36,C1315831906,0,0,C1368114983,2871460.37,3997360.46,0
9,CASH_IN,123958.09,C976265688,2945941.57,3069899.66,C1089993541,4742135.26,4178800.4,0
15,PAYMENT,15088.3,C1667504428,0,0,M1532499932,0,0,0
14,CASH_IN,50098.72,C1598154356,71752,121850.72,C134604590,30728.49,0,0
42,CASH_OUT,26115.08,C401944549,94356,68240.92,C1336977673,2706381.76,2732496.83,0
19,CASH_OUT,101234.38,C745449436,0,0,C577034657,4007266.52,4108500.9,0
16,CASH_OUT,103611.17,C474928293,549976,446364.83,C260838211,3753219.71,3856830.88,0
37,CASH_IN,105322,C604311941,15500000,15600000,C382934088,4670636.27,4732732.39,0
19,CASH_OUT,173852.49,C1264859925,21000.69,0,C67438339,0,173852.49,0
40,PAYMENT,8886.32,C1914284789,0,0,M1830134039,0,0,0
40,CASH_OUT,346473.5,C1038107165,11153,0,C1002952732,435120.33,781593.83,0
45,PAYMENT,9387.83,C1677187498,238034,228646.17,M1394923407,0,0,0
44,DEBIT,3374.56,C2054403576,278580,275205.44,C542007929,78782.82,82157.38,0
47,PAYMENT,21395.16,C770816937,0,0,M1652939025,0,0,0
18,CASH_OUT,223859.68,C212542700,77948.23,0,C267483131,757598.46,1304705.37,0
40,CASH_OUT,146685.44,C334138991,0,0,C168029260,1215768.6,2122010.41,0
19,CASH_OUT,160051.09,C1633545413,0,0,C1057059592,592499.53,800195.2,0
37,PAYMENT,25522.06,C1008163419,192817.92,167295.86,M992565072,0,0,0
41,TRANSFER,122066.3,C95913043,0,0,C1001156501,145752.83,267819.14,0
46,CASH_IN,14231.03,C2000038861,17316,31547.03,C811167033,3588599.91,3574368.87,0
14,CASH_OUT,56274.61,C52393405,55542,0,C444659911,0,56274.61,0
11,CASH_OUT,76150.15,C2139740831,0,0,C1225152713,471614.64,912481.95,0
24,CASH_IN,223093.1,C1692690693,0,223093.1,C966617687,1509842.67,1286749.57,0
13,CASH_OUT,269268.42,C1154303728,2255,0,C1807858012,158854.65,428123.07,0
36,CASH_IN,122382.29,C1385552092,17700000,17800000,C1616532095,2105226.24,2413811.27,0
94,TRANSFER,93425.81,C631851701,99970,6544.19,C1083586657,2790913.3,2884339.11,0
12,TRANSFER,566186.75,C1335438583,5121,0,C110491570,0,267715.74,0
20,PAYMENT,4862.16,C412724173,6446.01,1583.86,M1857415102,0,0,0
12,TRANSFER,583470.7,C892961425,0,0,C1632716597,586413.3,1600092.92,0
9,PAYMENT,10828.46,C1981387345,54644,43815.54,M724602502,0,0,0
21,CASH_OUT,69414.06,C1043092874,0,0,C638551812,7930292.49,10400000,0
17,CASH_IN,253270.3,C719260511,5471905.61,5725175.92,C380497350,583280.17,330499.33,0
19,CASH_OUT,75722.4,C1069139589,50537,0,C2040616075,1908690.13,2027797.48,0
47,PAYMENT,6770.54,C1672230053,56693,49922.46,M1616272945,0,0,0
21,CASH_IN,27452.23,C455228714,7532250.39,7559702.61,C468652831,495948.22,468495.99,0
22,TRANSFER,253807.81,C955856669,47762.63,0,C2045461917,548574.65,802382.45,0
37,CASH_OUT,42592.64,C557252138,0,0,C1115335181,966731.3,1009323.94,0
14,PAYMENT,10578.49,C644266900,122934.66,112356.17,M877131861,0,0,0
38,CASH_IN,276472.2,C726121596,31090,307562.2,C1417932187,0,0,0
25,CASH_OUT,218902.39,C117060474,0,0,C1049001133,295483.35,514385.74,0
17,CASH_IN,30003.36,C1732161909,3033953.9,3063957.26,C867506288,351240.8,321237.44,0
10,PAYMENT,32039.99,C795300724,100,0,M509626288,0,0,0
41,PAYMENT,5295.98,C1443751266,0,0,M1656361665,0,0,0
10,CASH_OUT,219932.29,C1275546864,0,0,C994117953,267959.88,487892.17,0
42,TRANSFER,528039.35,C2109588848,0,0,C323761934,2591984.51,3120023.86,0
10,CASH_OUT,20200.68,C148981898,0,0,C1444624884,591806.1,612006.78,0
44,CASH_OUT,16999.05,C1231937667,15137,0,C1998098575,561700.43,578699.48,0
13,CASH_IN,395834.11,C497813600,47934,443768.11,C1488083333,0,0,0
18,PAYMENT,8208.13,C8252895,22.88,0,M263996113,0,0,0
36,PAYMENT,11198.56,C1801644732,0,0,M1420614807,0,0,0
43,CASH_OUT,58888.33,C1077018126,21777,0,C1580543546,9693809.96,9752698.29,0
18,CASH_OUT,210531.74,C1412920737,29963,0,C317930384,988235.91,1198767.66,0
45,TRANSFER,582434.9,C92458547,0,0,C645329966,719824.99,1303693.55,0
14,CASH_IN,310785.87,C228590484,6175835.14,6486621.02,C801965910,561650.49,360567.96,0
18,CASH_OUT,139302.34,C1353657236,0,0,C405688685,892030.48,1318798.39,0
34,PAYMENT,8099.95,C970392454,0,0,M1257277083,0,0,0
15,CASH_OUT,308293.46,C393180049,548739.95,240446.49,C710481910,969484.89,1277778.35,0
42,PAYMENT,6854.52,C1055095474,410602.26,403747.75,M744957467,0,0,0
44,PAYMENT,17545.88,C682492820,0,0,M1662406760,0,0,0
44,CASH_OUT,135903.17,C1814786600,0,0,C327467918,641531.73,777434.89,0
40,CASH_IN,134081.43,C581338612,5158963.01,5293044.44,C1120976797,507956.51,328714.24,0
34,CASH_IN,212271.13,C925290619,33668,245939.13,C169297959,400737.91,135160.67,0
18,CASH_IN,481145.55,C2121739523,6755127.25,7236272.8,C541177943,584413.28,188491.82,0
11,CASH_OUT,338140.24,C2135102065,59577,0,C471455556,1633340.68,1971480.91,0
40,CASH_IN,125872.66,C1701337614,1056,126928.66,C1454214759,0,0,0
14,CASH_IN,94153.24,C1832797625,5091457.81,5185611.06,C890630379,627974.31,456595.27,0
35,PAYMENT,10995.91,C732234288,0,0,M1703350991,0,0,0
13,CASH_OUT,292070.42,C81440004,0,0,C1707980426,590353,882423.42,0
35,PAYMENT,13970.84,C105890888,327001.18,313030.34,M687275165,0,0,0
10,CASH_OUT,287691.85,C1055160379,797503.46,509811.62,C1496752534,3478.14,174769.61,0
16,PAYMENT,17311.88,C724988388,346021,328709.12,M662106109,0,0,0
19,TRANSFER,171086.42,C874384424,1913,0,C1122676079,6347.08,177433.5,0
8,TRANSFER,1057026.98,C695586557,15219,0,C486108916,10186,1404939.03,0
37,CASH_OUT,260923.39,C1187366195,0,0,C364207407,1050761.07,1311684.46,0
2,PAYMENT,6605.53,C987255094,22422,15816.47,M1937575946,0,0,0
20,PAYMENT,5386.71,C1374150350,0,0,M380422796,0,0,0
12,PAYMENT,636.58,C1050516252,183110,182473.42,M503572312,0,0,0
18,PAYMENT,44320.31,C2036712592,22,0,M83970561,0,0,0
35,PAYMENT,4566.46,C3216509,19933,15366.54,M673976524,0,0,0
2,PAYMENT,5745.53,C927369095,21032,15286.47,M1374431318,0,0,0
10,PAYMENT,11418.43,C1320341813,44868.27,33449.83,M395135251,0,0,0
14,CASH_OUT,15176.09,C1222596540,0,0,C1518843004,142878.09,250335.32,0
11,CASH_IN,38919.58,C1487470754,6602638.48,6641558.06,C224063653,131167.33,92247.74,0
17,PAYMENT,1783.15,C842073987,0,0,M27743135,0,0,0
19,TRANSFER,125762.16,C118072963,0,0,C1426317832,258197.87,383960.03,0
9,PAYMENT,13923.01,C1056746716,409,0,M1980961840,0,0,0
42,CASH_IN,251445.21,C1937928083,908373.35,1159818.56,C326177727,610899.25,647987.04,0
19,CASH_IN,481557.47,C1868332456,1141121.62,1622679.09,C1705218409,2045387.14,1756108.44,0
43,PAYMENT,2735.34,C820404388,18202.12,15466.78,M396368040,0,0,0
43,PAYMENT,26538.92,C363880646,30442,3903.08,M1914062333,0,0,0
19,TRANSFER,164945.56,C1430281428,12475,0,C1535481925,7964943.51,8129889.07,0
40,CASH_OUT,92244.05,C1031873422,59980,0,C1759330730,3902256.59,3994500.64,0
38,TRANSFER,1360098.4,C1673047638,61255,0,C132512514,0,962593.5,0
17,PAYMENT,1338.07,C322049082,0,0,M1322237647,0,0,0
19,PAYMENT,822.48,C1824947883,0,0,M58081953,0,0,0
38,CASH_IN,189888.75,C1801471751,1358361.26,1548250.01,C1104197405,12000000,11800000,0
11,PAYMENT,793.85,C1779082666,1609525.66,1608731.81,M1273481258,0,0,0
41,CASH_IN,99541.81,C643065486,334047.5,433589.31,C1131722399,1231502.83,1131961.02,0
19,CASH_IN,142277.19,C918909831,1064397.24,1206674.43,C1106540048,1370852.06,1368679.09,0
46,PAYMENT,24638.79,C1482922290,12,0,M472995287,0,0,0
37,PAYMENT,10814.83,C328739312,0,0,M2042313958,0,0,0
37,PAYMENT,1948.13,C953918982,0,0,M175426141,0,0,0
17,CASH_IN,76443.06,C827660189,12200000,12300000,C1829831147,1911713.55,1835270.48,0
14,PAYMENT,5047.72,C1914309073,4422.55,0,M1143642489,0,0,0
20,PAYMENT,10405.93,C653753847,292903.48,282497.55,M1592996815,0,0,0
18,CASH_IN,86288.76,C1423421961,1059,87347.76,C962607612,0,0,0
45,TRANSFER,1007429.59,C304750241,0,0,C26996543,1289499.96,2296929.54,0
33,CASH_OUT,107026.54,C1624607930,0,0,C208592748,610555.22,717581.76,0
35,CASH_IN,19929.73,C969087695,3647207.84,3667137.56,C1296413871,36988.51,17058.79,0
9,PAYMENT,8227.7,C1549480759,0,0,M1013059329,0,0,0
41,CASH_IN,261879.28,C674842264,12700000,12900000,C2049626850,409214.34,147335.05,0
11,CASH_IN,129571.17,C1259393475,43763,173334.17,C1432486446,11616,231293.15,0
12,PAYMENT,10944.01,C673397054,0,0,M1759124660,0,0,0
16,CASH_IN,169903.03,C909231147,329975.49,499878.52,C753008293,223571.8,53668.77,0
35,PAYMENT,22624.93,C2039118068,249,0,M71318763,0,0,0
42,CASH_IN,77368.32,C677798478,11229,88597.32,C1505969616,109820.53,32452.21,0
39,CASH_OUT,234344.95,C1427113524,9202,0,C1361615734,569109.12,803454.06,0
35,TRANSFER,855610.5,C1646679200,52267,0,C1304840133,92127.22,947737.72,0
15,CASH_OUT,151862.99,C1404030832,0,0,C1518800593,1368863.14,1520726.13,0
20,PAYMENT,4468,C861612786,130586,126118,M256729684,0,0,0
35,PAYMENT,14794.69,C896758835,61704,46909.31,M1297479959,0,0,0
11,CASH_OUT,178299.2,C50226965,0,0,C569046988,422851.77,672726.3,0
10,CASH_IN,342894.29,C1641744714,18800000,19200000,C1591761819,2721207.71,1807248.96,0
18,PAYMENT,2485.05,C144444846,0,0,M202197784,0,0,0
40,CASH_OUT,218613.73,C142911542,93266,0,C323173314,1814102.47,2032716.2,0
40,CASH_OUT,286052.44,C1505450763,0,0,C206548713,24200000,24500000,0
36,CASH_OUT,99914.33,C712723204,16216,0,C1329315556,959359.51,1059273.84,0
19,CASH_IN,17352.99,C427730394,807330.91,824683.9,C878506901,460388.95,443035.96,0
16,PAYMENT,6082.94,C1546006425,10179,4096.06,M1677935392,0,0,0
11,PAYMENT,13983.49,C2108042650,285295.42,271311.93,M1181154743,0,0,0
39,CASH_OUT,159440.65,C2094753561,17145.11,0,C1481495873,395286.04,554726.69,0
9,CASH_OUT,321949.95,C586634810,473236.74,151286.8,C1922817437,941919.92,1414888.34,0
20,CASH_OUT,281725.01,C2119834853,0,0,C834658793,363753.07,645478.08,0
21,PAYMENT,8621.79,C1233893680,220862.83,212241.04,M3933504,0,0,0
33,CASH_OUT,74607.13,C832637576,12564,0,C1748157370,83649.41,494927.68,0
24,PAYMENT,33969.52,C1176036359,228086,194116.48,M1018744026,0,0,0
38,CASH_OUT,64845.62,C1026587377,50170,0,C276663139,1999597.19,2064442.82,0
14,CASH_OUT,55907.85,C37804203,105808,49900.15,C1251601692,0,513185.24,0
43,CASH_OUT,185872.53,C2043780878,123109.18,0,C1908418707,1141336.78,1327209.31,0
18,CASH_OUT,119778.77,C1880954458,28494,0,C1927286935,253474.02,373252.79,0
33,CASH_OUT,62718.48,C1573727625,0,0,C1934020531,660105.6,722824.08,0
38,CASH_IN,118257.42,C1117785316,4840514.7,4958772.12,C1134949044,475811.07,357553.65,0
20,CASH_OUT,415215.85,C171738672,11069,0,C1332001988,1363846.07,1779061.92,0
11,PAYMENT,855.06,C1210373871,2202.4,1347.33,M1324574409,0,0,0
44,CASH_OUT,61802.79,C1394498354,0,0,C1308098710,269088.47,499380.57,0
19,DEBIT,9997.45,C75733299,0,0,C2055645424,15508,0,0
14,CASH_IN,80504.79,C405448671,20100000,20200000,C2142387063,1156173.28,1305222.95,0
22,PAYMENT,5294,C1629790552,51485,46191,M800914017,0,0,0
20,PAYMENT,6841.41,C1676010555,51941,45099.59,M777027326,0,0,0
8,CASH_OUT,193306.88,C1130677063,0,0,C1090263069,511138.3,1260609.49,0
20,CASH_IN,54013.84,C1198438499,5068902.68,5122916.52,C447933528,632826.38,578812.53,0
14,PAYMENT,14050.58,C554763288,106122.7,92072.12,M273050361,0,0,0
40,PAYMENT,4856.34,C1410906205,51906.05,47049.71,M1157837510,0,0,0
12,PAYMENT,31471.59,C32942944,109563.25,78091.66,M871469352,0,0,0
44,PAYMENT,6924.01,C1511396320,115631.52,108707.51,M1208586348,0,0,0
36,CASH_OUT,175849.25,C1590542597,31273,0,C1256529859,1579361.45,1755210.71,0
8,CASH_IN,54301.39,C535270419,6392080.87,6446382.25,C450960851,301738.15,121150.57,0
12,PAYMENT,35041.86,C1929116194,2385386.33,2350344.47,M880208808,0,0,0
16,CASH_OUT,125641.24,C664756343,778,0,C1439936386,6381141.01,6554796.78,0
13,TRANSFER,207988.5,C1337836387,0,0,C514839211,300461.07,1486595.25,0
38,PAYMENT,18336.41,C927689957,0,0,M2072870431,0,0,0
